Store No,Auchan Store Name _LAttr02,Town,Street,Zip Code,full,full.address,Store Latitude,Store Longitude
FRA068,TOMBLAINE,TOMBLAINE -Nancy-,AV EUGENE POTTIER,54510,Auchan TOMBLAINE [FRA068],<b>Auchan TOMBLAINE [FRA068]</b><br>AV EUGENE POTTIER<br>F-54510 TOMBLAINE -Nancy-,48.685811,6.22143
FRA069,ARRAS,ARRAS,6 R CLAUDE BERNARD   ARRAS Bernard,62000,Auchan ARRAS [FRA069],<b>Auchan ARRAS [FRA069]</b><br>6 R CLAUDE BERNARD   ARRAS Bernard<br>F-62000 ARRAS,50.299719,2.734653
FRA070,TOULOUSE,TOULOUSE Gramont,RN 112,31200,Auchan TOULOUSE [FRA070],<b>Auchan TOULOUSE [FRA070]</b><br>RN 112<br>F-31200 TOULOUSE Gramont,43.632001,1.484443
FRA071,DOUAI,SIN LE NOBLE -Douai-,RN 17,59450,Auchan DOUAI [FRA071],<b>Auchan DOUAI [FRA071]</b><br>RN 17<br>F-59450 SIN LE NOBLE -Douai-,50.341674,3.098532
FRA081,NOGENT,CREIL -Nogent Sur Oise-,AV DE L'EUROPE,60180,Auchan NOGENT [FRA081],<b>Auchan NOGENT [FRA081]</b><br>AV DE L'EUROPE<br>F-60180 CREIL -Nogent Sur Oise-,49.271645,2.482881
FRA082,PAU,PAU,5 AV DU Gal LECLERC,64000,Auchan PAU [FRA082],<b>Auchan PAU [FRA082]</b><br>5 AV DU Gal LECLERC<br>F-64000 PAU,43.304596,-0.333734
FRA083,MONTAUBAN,MONTAUBAN,777 AV JEAN MOULIN,82000,Auchan MONTAUBAN [FRA083],<b>Auchan MONTAUBAN [FRA083]</b><br>777 AV JEAN MOULIN<br>F-82000 MONTAUBAN,44.030646,1.368461
FRA087,MARNE LA VALLEE,SERRIS -Marne La Vallée-,14 CRS DU DANUBE,77700,Auchan MARNE LA VALLEE [FRA087],<b>Auchan MARNE LA VALLEE [FRA087]</b><br>14 CRS DU DANUBE<br>F-77700 SERRIS -Marne La Vallée-,48.853912,2.777714
FRA088,BEAUVAIS,BEAUVAIS,1 AV DESCARTES,60000,Auchan BEAUVAIS [FRA088],<b>Auchan BEAUVAIS [FRA088]</b><br>1 AV DESCARTES<br>F-60000 BEAUVAIS,49.409893,2.116004
FRA089,VILLETANEUSE,VILLETANEUSE Bienvenu,189 AV LA DIVISION LECLERC,93430,Auchan VILLETANEUSE [FRA089],<b>Auchan VILLETANEUSE [FRA089]</b><br>189 AV LA DIVISION LECLERC<br>F-93430 VILLETANEUSE Bienvenu,48.949145,2.34389
FRA090,KREMLIN BICETRE,Kremlin Bicètre,13 rue Edmond Michelet,94270,Auchan KREMLIN BICETRE [FRA090],<b>Auchan KREMLIN BICETRE [FRA090]</b><br>13 rue Edmond Michelet<br>F-94270 Kremlin Bicètre,48.810839,2.362295
FRA093,SARCELLES,SARCELLES,200 avenue de la division Leclerc,95200,Auchan SARCELLES [FRA093],<b>Auchan SARCELLES [FRA093]</b><br>200 avenue de la division Leclerc<br>F-95200 SARCELLES,48.985754,2.372577
FRA101,DURY,DURY -Amiens-,RN 16,80480,Auchan DURY [FRA101],<b>Auchan DURY [FRA101]</b><br>RN 16<br>F-80480 DURY -Amiens-,49.86229,2.280465
FRA102,ST OMER,LONGUENESSE -St Omer-,RTE D'ARQUES,62219,Auchan ST OMER [FRA102],<b>Auchan ST OMER [FRA102]</b><br>RTE D'ARQUES<br>F-62219 LONGUENESSE -St Omer-,50.736083,2.270265
FRA103,ST QUENTIN,FAYET -St Quentin-,RN 29,2100,Auchan ST QUENTIN [FRA103],<b>Auchan ST QUENTIN [FRA103]</b><br>RN 29<br>F-2100 FAYET -St Quentin-,49.861217,3.252317
FRA104,MONTIVILLIERS,MONTIVILLIERS,CC LA LEZARDE,76290,Auchan MONTIVILLIERS [FRA104],<b>Auchan MONTIVILLIERS [FRA104]</b><br>CC LA LEZARDE<br>F-76290 MONTIVILLIERS,49.527558,0.19051
FRA105,CALAIS,CALAIS Boulogne,RTE DE BOULOGNE,62100,Auchan CALAIS [FRA105],<b>Auchan CALAIS [FRA105]</b><br>RTE DE BOULOGNE<br>F-62100 CALAIS Boulogne,50.94434,1.808241
FRA106,OSNY,OSNY,CHE DU POIRIER GUERIN,95520,Auchan OSNY [FRA106],<b>Auchan OSNY [FRA106]</b><br>CHE DU POIRIER GUERIN<br>F-95520 OSNY,49.077209,2.078204
FRA107,TAVERNY,TAVERNY Bois de Boissy,R THEROIGNE DE MERICOURT,95150,Auchan TAVERNY [FRA107],<b>Auchan TAVERNY [FRA107]</b><br>R THEROIGNE DE MERICOURT<br>F-95150 TAVERNY Bois de Boissy,49.013775,2.221097
FRA108,TOURS,TOURS Petite Arche,RTE DE PARIS,37100,Auchan TOURS [FRA108],<b>Auchan TOURS [FRA108]</b><br>RTE DE PARIS<br>F-37100 TOURS Petite Arche,47.427654,0.69889
FRA110,CHAMBRAY,CHAMBRAY LES TOURS,RTE DE JOUE LES TOURS,37170,Auchan CHAMBRAY [FRA110],<b>Auchan CHAMBRAY [FRA110]</b><br>RTE DE JOUE LES TOURS<br>F-37170 CHAMBRAY LES TOURS,47.338936,0.699725
FRA111,BLOIS,VINEUIL -Blois-,99 rue Pierre-Gilles de Gennes,41350,Auchan BLOIS [FRA111],<b>Auchan BLOIS [FRA111]</b><br>99 rue Pierre-Gilles de Gennes<br>F-41350 VINEUIL -Blois-,47.572785,1.373568
FRA113,AUBIERE,AUBIERE,101 AV JEAN MOULIN,63170,Auchan AUBIERE [FRA113],<b>Auchan AUBIERE [FRA113]</b><br>101 AV JEAN MOULIN<br>F-63170 AUBIERE,45.753537,3.127443
FRA114,CLERMONT,CLERMONT FERRAND Clémentel,BD ETIENNE CLEMENTEL,63100,Auchan CLERMONT [FRA114],<b>Auchan CLERMONT [FRA114]</b><br>BD ETIENNE CLEMENTEL<br>F-63100 CLERMONT FERRAND Clémentel,45.811879,3.108238
FRA118,WOIPPY,WOIPPY Metz Nord,1 R DE L'ABBE GREGOIRE,57140,Auchan WOIPPY [FRA118],<b>Auchan WOIPPY [FRA118]</b><br>1 R DE L'ABBE GREGOIRE<br>F-57140 WOIPPY Metz Nord,49.149419,6.173567
FRA119,LAXOU,LAXOU -Nancy-,R DE LA SAPINIERE,54520,Auchan LAXOU [FRA119],<b>Auchan LAXOU [FRA119]</b><br>R DE LA SAPINIERE<br>F-54520 LAXOU -Nancy-,48.69176,6.125384
FRA120,BESSONCOURT,BESSONCOURT -Belfort-,CD 419,90160,Auchan BESSONCOURT [FRA120],<b>Auchan BESSONCOURT [FRA120]</b><br>CD 419<br>F-90160 BESSONCOURT -Belfort-,47.640477,6.915029
FRA123,BAR LE DUC,SAVONNIERES DEVANT BAR -Bar Le Duc-,RTE DE LONGEVILLE,55000,Auchan BAR LE DUC [FRA123],<b>Auchan BAR LE DUC [FRA123]</b><br>RTE DE LONGEVILLE<br>F-55000 SAVONNIERES DEVANT BAR -Bar Le Duc-,48.759983,5.183087
FRA124,HIRSON,HIRSON,AV DE VERDUN,2500,Auchan HIRSON [FRA124],<b>Auchan HIRSON [FRA124]</b><br>AV DE VERDUN<br>F-2500 HIRSON,49.91292,4.090735
FRA125,MONT ST MARTIN,MONT ST MARTIN -Longwy-,3 R ALFRED L'ABBE,54350,Auchan MONT ST MARTIN [FRA125],<b>Auchan MONT ST MARTIN [FRA125]</b><br>3 R ALFRED L'ABBE<br>F-54350 MONT ST MARTIN -Longwy-,49.544511,5.797161
FRA126,LUXEUIL,LUXEUIL LES BAINS,RN 57,70300,Auchan LUXEUIL [FRA126],<b>Auchan LUXEUIL [FRA126]</b><br>RN 57<br>F-70300 LUXEUIL LES BAINS,47.82178,6.387767
FRA127,MERS,MERS LES BAINS,FOND DE FROIDEVILLE,80350,Auchan MERS [FRA127],<b>Auchan MERS [FRA127]</b><br>FOND DE FROIDEVILLE<br>F-80350 MERS LES BAINS,50.062152,1.408164
FRA128,LOBAU,NANCY,127 BD LOBAU,54000,Auchan LOBAU [FRA128],<b>Auchan LOBAU [FRA128]</b><br>127 BD LOBAU<br>F-54000 NANCY,48.680279,6.199053
FRA129,NOYON,NOYON,ZAC DU MONT RENAUD,60400,Auchan NOYON [FRA129],<b>Auchan NOYON [FRA129]</b><br>ZAC DU MONT RENAUD<br>F-60400 NOYON,49.569883,2.977535
FRA130,VIRY,VIRY NOUREUIL,RN 32,2300,Auchan VIRY [FRA130],<b>Auchan VIRY [FRA130]</b><br>RN 32<br>F-2300 VIRY NOUREUIL,49.643114,3.258518
FRA135,GIEN,GIEN,3 R DE LA FABRIQUE,45500,Auchan GIEN [FRA135],<b>Auchan GIEN [FRA135]</b><br>3 R DE LA FABRIQUE<br>F-45500 GIEN,47.688837,2.620643
FRA136,MERU,MERU Coquet,R MARCEL COQUET,60110,Auchan MERU [FRA136],<b>Auchan MERU [FRA136]</b><br>R MARCEL COQUET<br>F-60110 MERU Coquet,49.21801,2.1409
FRA137,NEUILLY,NEUILLY S/MARNE Baobab,1/9 AV DU Mal FOCH,93330,Auchan NEUILLY [FRA137],<b>Auchan NEUILLY [FRA137]</b><br>1/9 AV DU Mal FOCH<br>F-93330 NEUILLY S/MARNE Baobab,48.855321,2.518105
FRA138,SOISY,SOISY SS/MONTMORENCY,28/30 AV DE PARIS,95230,Auchan SOISY [FRA138],<b>Auchan SOISY [FRA138]</b><br>28/30 AV DE PARIS<br>F-95230 SOISY SS/MONTMORENCY,48.990468,2.29086
FRA139,BIGANOS,BIGANOS Facture,91 R DES FONDERIES,33380,Auchan BIGANOS [FRA139],<b>Auchan BIGANOS [FRA139]</b><br>91 R DES FONDERIES<br>F-33380 BIGANOS Facture,44.639767,-0.957489
FRA140,CHASSENEUIL,CHASSENEUIL DU POITOU -Poitiers-,RN 10,86360,Auchan CHASSENEUIL [FRA140],<b>Auchan CHASSENEUIL [FRA140]</b><br>RN 10<br>F-86360 CHASSENEUIL DU POITOU -Poitiers-,46.665537,0.369618
FRA141,CHATELLERAULT,CHATELLERAULT Forêt,AV JEAN MOULIN,86100,Auchan CHATELLERAULT [FRA141],<b>Auchan CHATELLERAULT [FRA141]</b><br>AV JEAN MOULIN<br>F-86100 CHATELLERAULT Forêt,46.797782,0.529365
FRA142,COGNAC,LD LE FIEF DU ROY   CHATEAUBERNARD -Cognac-,0,16100,Auchan COGNAC [FRA142],<b>Auchan COGNAC [FRA142]</b><br>0<br>F-16100 LD LE FIEF DU ROY   CHATEAUBERNARD -Cognac-,45.683357,-0.305249
FRA143,POITIERS SUD,POITIERS,250 RTE DU 8 MAI 1945,86000,Auchan POITIERS SUD [FRA143],<b>Auchan POITIERS SUD [FRA143]</b><br>250 RTE DU 8 MAI 1945<br>F-86000 POITIERS,46.551758,0.299634
FRA144,ST CYR,ST CYR S/LOIRE -Tours-,31 BD CHARLES DE GAULLE,37540,Auchan ST CYR [FRA144],<b>Auchan ST CYR [FRA144]</b><br>31 BD CHARLES DE GAULLE<br>F-37540 ST CYR S/LOIRE -Tours-,47.425616,0.656823
FRA145,BIAS,BIAS -Villeneuve Sur Lot-,RN 111,47300,Auchan BIAS [FRA145],<b>Auchan BIAS [FRA145]</b><br>RN 111<br>F-47300 BIAS -Villeneuve Sur Lot-,44.404923,0.676203
FRA147,CHATEAUROUX,LE POINCONNET -Châteauroux-,RTE DE LA CHATRE,36330,Auchan CHATEAUROUX [FRA147],<b>Auchan CHATEAUROUX [FRA147]</b><br>RTE DE LA CHATRE<br>F-36330 LE POINCONNET -Châteauroux-,46.791053,1.734942
FRA150,MACON,MACON,RN 6,71000,Auchan MACON [FRA150],<b>Auchan MACON [FRA150]</b><br>RN 6<br>F-71000 MACON,46.326048,4.839225
FRA151,BRIVES,BRIVES CHARENSAC,69 AV CHARLES DUPUY,43700,Auchan BRIVES [FRA151],<b>Auchan BRIVES [FRA151]</b><br>69 AV CHARLES DUPUY<br>F-43700 BRIVES CHARENSAC,45.049202,3.916201
FRA152,DOMERAT,DOMERAT -Montluçon-,RTE DE GUERET,3410,Auchan DOMERAT [FRA152],<b>Auchan DOMERAT [FRA152]</b><br>RTE DE GUERET<br>F-3410 DOMERAT -Montluçon-,46.338813,2.56785
FRA155,VALENCE,GUILHERAND GRANGES -Valence-,1449 AV DE LA REPUBLIQUE,7500,Auchan VALENCE [FRA155],<b>Auchan VALENCE [FRA155]</b><br>1449 AV DE LA REPUBLIQUE<br>F-7500 GUILHERAND GRANGES -Valence-,44.93814,4.865395
FRA156,CASTRES,CASTRES Grand sud,RTE DE TOULOUSE,81000,Auchan CASTRES [FRA156],<b>Auchan CASTRES [FRA156]</b><br>RTE DE TOULOUSE<br>F-81000 CASTRES Grand sud,43.589314,2.185835
FRA157,CAVAILLON,CAVAILLON,CHE DES TAILLADES,84300,Auchan CAVAILLON [FRA157],<b>Auchan CAVAILLON [FRA157]</b><br>CHE DES TAILLADES<br>F-84300 CAVAILLON,43.836245,5.052678
FRA159,GRASSE,GRASSE -Le plan de grasse-,RTE DE LA PAOUTE,6130,Auchan GRASSE [FRA159],<b>Auchan GRASSE [FRA159]</b><br>RTE DE LA PAOUTE<br>F-6130 GRASSE -Le plan de grasse-,43.635047,6.950871
FRA160,MANOSQUE,MANOSQUE,RTE DE SISTERON,4100,Auchan MANOSQUE [FRA160],<b>Auchan MANOSQUE [FRA160]</b><br>RTE DE SISTERON<br>F-4100 MANOSQUE,43.850508,5.822766
FRA163,SETE,SETE,BD CAMILLE BLANC,34200,Auchan SETE [FRA163],<b>Auchan SETE [FRA163]</b><br>BD CAMILLE BLANC<br>F-34200 SETE,43.408846,3.669604
FRA178,MONTGERON,VIGNEUX S/SEINE -Montgeron-,RN 5,91270,Auchan MONTGERON [FRA178],<b>Auchan MONTGERON [FRA178]</b><br>RN 5<br>F-91270 VIGNEUX S/SEINE -Montgeron-,48.715145,2.436716
FRA999,OTHERS,ALL OTHERS,N/A,99999,Auchan OTHERS [FRA999],<b>Auchan OTHERS [FRA999]</b><br>N/A<br>F-99999 ALL OTHERS,44.93814,4.865395
FRA432,AVRILLE,Avrillé,Centre Commercial la Croix Cadeaux,49240,Auchan AVRILLE [FRA432],<b>Auchan AVRILLE [FRA432]</b><br>Centre Commercial la Croix Cadeaux<br>F-49240 Avrillé,47.502612,-0.6011425
FRA033,EPINAY,Villetaneuse,"Centre Commercial Bienvenu, 189 Avenue Division Leclerc",93430,Auchan EPINAY [FRA033],"<b>Auchan EPINAY [FRA033]</b><br>Centre Commercial Bienvenu, 189 Avenue Division Leclerc<br>F-93430 Villetaneuse",48.9544375,2.3171555
FRA099,ROISSY,Roissy-en-France,Rue des Buissons,95700,Auchan ROISSY [FRA099],<b>Auchan ROISSY [FRA099]</b><br>Rue des Buissons<br>F-95700 Roissy-en-France,49.0036255,2.5187551
LUX381,Kirchberg,Luxembourg,5 r. Alphonse Weicker (Auchan Kirchberg),2721,Auchan Kirchberg [LUX381],<b>Auchan Kirchberg [LUX381]</b><br>5 r. Alphonse Weicker (Auchan Kirchberg)<br>F-2721 Luxembourg,49.583542,6.139417
